At which research institution are you a student or staff member?,Which of these terms best describe your career stage or role? (select one or more),How would you describe your MATLAB experience? (Using terms defined by The Carpentries),Please add any additional detail if you wish,"How would you describe your experience of software development and code in general?

Please consider any experience you have of MATLAB as well as other languages and tools outside of MATLAB.",Please add any additional detail if you wish,"Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Version control (e.g. git, subversion, mercurial, etc.)]","Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Online code hosting (e.g. GitHub, GitLab, BitBucket)]","Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Dependency and/or  environment management (e.g. conda, renv, etc.)]","Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Continuous Integration/Deployment (e.g. automated testing, GitHub Actions, Travis, Jenkins etc.)]","Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Literate programming (e.g. jupyter notebooks, rmarkdown, live scripts, quarto)]",Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Documentation generation and version control],Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Data availability and version control],Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Software testing],Is there anything else you'd like to tell us following this question?,"Do you use git as a version control system with MATLAB? If so, which interface(s) do you use?",Is there anything else you'd like to tell us following this question?,Which of the following MATLAB tools and language features do you use?,"If you have indicated that you’re aware of a tool or reproducibility concept but that you don’t use it, please tell us what would make you more likely to use it.","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [MATLAB Projects (https://uk.mathworks.com/help/matlab/projects.html)]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html)]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Version control (e.g. git)]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Custom MATLAB Toolbox Development]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Publishing code (sharing code with a research publication)]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Software Licensing]","In general, which training formats do you favour for learning coding/software development skills?","When you seek guidance in writing code, where do you turn to?",Is there anything else you’d like to share on the topic of MATLAB and reproducibility methods?
Staff member ,Academic Researcher or Lecturer,Novice,I have not used MATLAB before even though I have read it can be applied in my research I don't have the soft skills training to use it in data computing ,Novice,,,,,,,,,,I can't use MATLAB,I don't use git with MATLAB,,None,,,,,,,,,"In-person lecture, In-person practical, Written tutorials",Third-party online guidance,I am a novice I want to learn 
Delft University of Technology (NL),Doctoral Student (PhD/EngD or similar),Expert,,Expert,,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,,"git's command line interface, MATLAB's source control tools",,Functions,,Not interested,Would like to learn (on my own),Would like to learn (on my own),Already familiar with,Would like to learn (on my own),Already familiar with,Would like to learn (in structured training),"In-person practical, Written tutorials","Official documentation, Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central","For true open-access publishing of code, it's important to consider those who do not have access to the MATLAB software. GNU Octave is a great alternative, which is mostly cross-compatible with MATLAB. Personally, I verify whether scripts are compatible and produce equivalent results before publishing, and mention the MATLAB and Octave versions used for testing."
London School of Economics,Undergraduate student,Expert,,Expert,,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,,"git's command line interface, GitKraken Client",,"Functions, Classes and Object-Oriented Programming, Projects (https://uk.mathworks.com/help/matlab/projects.html), MATLAB's source control integration (https://uk.mathworks.com/help/matlab/source-control.html), Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html), Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html), Custom toolbox development",,Already familiar with,Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),"In-person lecture, Remote (online) lecture, Remote (online) practical, Written tutorials, Video tutorials","Official documentation, Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central, Institutional support (e.g. code clinics, RSE drop-in sessions)",
University of Potsdam ,Academic Researcher or Lecturer,Expert,,Competent Practitioner,,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of but don't use,Aware of but don't use,Aware of and use with MATLAB,Aware of and use outside MATLAB,Not aware of,Aware of but don't use,,"git's command line interface, GitHub Desktop",,"Functions, Classes and Object-Oriented Programming, Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)",,Would like to learn (on my own),Would like to learn (on my own),Already familiar with,Already familiar with,Would like to learn (in structured training),Already familiar with,Would like to learn (in structured training),"In-person lecture, In-person practical, Remote (online) lecture, Remote (online) practical, Written tutorials, Video tutorials, Blogs",Official documentation,
University of Sheffield,Postdoctoral Researcher / Research Fellow,Competent Practitioner,"I've been programming in Matlab for at least 15 years, but not continuously - depends on the current research. Mainly just processing for myself, but some code used more widely in projects.",Novice,"I used to be competent in VBA in Excel, but have forgotten most of that now, so probably back to novice!  Same for previously doing Fortran  and Basic, many many years ago!",Aware of but don't use,Aware of but don't use,Not aware of,Not aware of,Aware of but don't use,"Aware of and use with MATLAB, Aware of and use outside MATLAB","Aware of and use with MATLAB, Aware of and use outside MATLAB",Aware of and use with MATLAB,"I do my own version control through file naming and incremental additions to comments at the top of the code.  I tried git many years ago, but never really 'got' it.",I don't use git with MATLAB,,"Functions, Classes and Object-Oriented Programming, Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)",Understanding how; grasping the benefits over my current workflows; finding time to learn it.,Not interested,Would like to learn (in structured training),Already familiar with,Would like to learn (in structured training),Not interested,Would like to learn (on my own),Would like to learn (on my own),"Remote (online) lecture, Remote (online) practical, Written tutorials, Blogs, Online help centre, etc","Official documentation, Third-party online guidance, Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central",
University of Oxford,Postdoctoral Researcher / Research Fellow,Competent Practitioner,,Competent Practitioner,,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of but don't use,Aware of and use outside MATLAB,Aware of but don't use,Aware of but don't use,Aware of but don't use,,git's command line interface,,"Functions, Classes and Object-Oriented Programming, Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)",Much code I develop is still for one project only and limited functionality is fine. It's often not worth developing it further with unit testing etc.,Would like to learn (on my own),Would like to learn (on my own),Already familiar with,Already familiar with,Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (on my own),"In-person lecture, In-person practical, Remote (online) lecture, Remote (online) practical, Written tutorials",Online Q&A/Forums/Stack Overflow/MATLAB Central,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Postdoctoral Researcher / Research Fellow, Academic Researcher or Lecturer",Competent Practitioner,,Novice,,Aware of and use outside MATLAB,Aware of but don't use,Aware of but don't use,Aware of and use outside MATLAB,Not aware of,Aware of but don't use,Not aware of,Aware of but don't use,,"git's command line interface, MATLAB's source control tools",,"Projects (https://uk.mathworks.com/help/matlab/projects.html), MATLAB's source control integration (https://uk.mathworks.com/help/matlab/source-control.html)",,Would like to learn (in structured training),Not interested,Would like to learn (in structured training),Would like to learn (in structured training),Not interested,Would like to learn (in structured training),Not interested,"In-person practical, Remote (online) practical","Third-party online guidance, Online Q&A/Forums/Stack Overflow/MATLAB Central",
,Postdoctoral Researcher / Research Fellow,Competent Practitioner,,Novice,,Aware of and use outside MATLAB,Aware of but don't use,Aware of but don't use,Aware of and use outside MATLAB,Not aware of,Aware of but don't use,Not aware of,Aware of but don't use,,"I don't use git with MATLAB, git's command line interface",,"MATLAB's source control integration (https://uk.mathworks.com/help/matlab/source-control.html), Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)",,Not interested,Would like to learn (in structured training),Would like to learn (on my own),Would like to learn (in structured training),Would like to learn (on my own),Not interested,Would like to learn (in structured training),"In-person practical, Remote (online) practical, Blogs","Third-party online guidance, Colleagues",
,Undergraduate student,Novice,,Novice,,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,,git's command line interface,,"Classes and Object-Oriented Programming, Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html)",,Would like to learn (on my own),Already familiar with,Already familiar with,Would like to learn (on my own),Already familiar with,Would like to learn (on my own),Would like to learn (on my own),Remote (online) lecture,Third-party online guidance,
,Postgraduate Masters student,Competent Practitioner,,Competent Practitioner,,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use with MATLAB,,Aware of but don't use,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,,MATLAB's source control tools,,"Projects (https://uk.mathworks.com/help/matlab/projects.html), MATLAB's source control integration (https://uk.mathworks.com/help/matlab/source-control.html), Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html)",,Would like to learn (on my own),Already familiar with,Already familiar with,Would like to learn (on my own),Would like to learn (on my own),Already familiar with,Already familiar with,Remote (online) practical,Colleagues,
,Doctoral Student (PhD/EngD or similar),Expert,,Expert,,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of and use with MATLAB,,"Other development environment git interface (e.g. VScode, Rstudio, PyCharm)",,"Projects (https://uk.mathworks.com/help/matlab/projects.html), Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html), Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)",,Would like to learn (on my own),Would like to learn (on my own),Already familiar with,Would like to learn (on my own),Already familiar with,Would like to learn (on my own),Already familiar with,Remote (online) practical,Online Q&A/Forums/Stack Overflow/MATLAB Central,
,"Postgraduate Masters student, Doctoral Student (PhD/EngD or similar), Postdoctoral Researcher / Research Fellow",Competent Practitioner,,Novice,,Aware of and use outside MATLAB,Aware of but don't use,Aware of but don't use,Not aware of,Aware of but don't use,Not aware of,Aware of but don't use,Not aware of,,"git's command line interface, Other development environment git interface (e.g. VScode, Rstudio, PyCharm)",,"Projects (https://uk.mathworks.com/help/matlab/projects.html), MATLAB's source control integration (https://uk.mathworks.com/help/matlab/source-control.html), Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html)",,Would like to learn (on my own),Would like to learn (in structured training),Not interested,Would like to learn (in structured training),Not interested,Would like to learn (in structured training),Not interested,"Remote (online) lecture, Remote (online) practical, Video tutorials","Third-party online guidance, Colleagues",
Brand Names,Undergraduate student,Novice,,Novice,,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of but don't use,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,,I don't use git with MATLAB,,MATLAB's source control integration (https://uk.mathworks.com/help/matlab/source-control.html),,Would like to learn (on my own),Would like to learn (in structured training),Would like to learn (on my own),Already familiar with,Would like to learn (in structured training),Would like to learn (on my own),Already familiar with,"In-person practical, Remote (online) practical","Official documentation, Third-party online guidance",
,"Postgraduate Masters student, Doctoral Student (PhD/EngD or similar), Academic Researcher or Lecturer",Competent Practitioner,,Competent Practitioner,,Aware of and use outside MATLAB,Aware of but don't use,Aware of but don't use,Not aware of,Aware of but don't use,Not aware of,Aware of but don't use,Not aware of,,"git's command line interface, Other development environment git interface (e.g. VScode, Rstudio, PyCharm)",,"Classes and Object-Oriented Programming, Projects (https://uk.mathworks.com/help/matlab/projects.html), Custom toolbox development",,Would like to learn (in structured training),Not interested,Would like to learn (in structured training),Not interested,Would like to learn (in structured training),Not interested,Not interested,"Remote (online) lecture, Remote (online) practical, Video tutorials",Third-party online guidance,
,"Postgraduate Masters student, Doctoral Student (PhD/EngD or similar)",Novice,,Competent Practitioner,,Aware of and use outside MATLAB,Aware of but don't use,Aware of and use outside MATLAB,Not aware of,Aware of but don't use,Not aware of,Aware of but don't use,Not aware of,,"MATLAB's source control tools, Other development environment git interface (e.g. VScode, Rstudio, PyCharm)",,"Projects (https://uk.mathworks.com/help/matlab/projects.html), MATLAB's source control integration (https://uk.mathworks.com/help/matlab/source-control.html), Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html)",,Not interested,Would like to learn (in structured training),Would like to learn (in structured training),Not interested,Would like to learn (in structured training),Not interested,Would like to learn (in structured training),"Remote (online) lecture, Remote (online) practical, Written tutorials","Third-party online guidance, Colleagues",
,"Doctoral Student (PhD/EngD or similar), Research Software Engineer/Software Developer",Competent Practitioner,,Novice,,Not aware of,Aware of but don't use,Aware of but don't use,Not aware of,Aware of but don't use,Not aware of,Aware of but don't use,Not aware of,,"MATLAB's source control tools, Other development environment git interface (e.g. VScode, Rstudio, PyCharm)",,"Classes and Object-Oriented Programming, Projects (https://uk.mathworks.com/help/matlab/projects.html)",,Would like to learn (in structured training),Would like to learn (in structured training),Not interested,Would like to learn (in structured training),Not interested,Would like to learn (in structured training),Not interested,"Remote (online) lecture, Remote (online) practical","Third-party online guidance, Colleagues",
University of Washington Software Research Institute,Undergraduate student,Novice,I'm a freshman and just getting started with the software,Novice,I don't have much experience in this field,Not aware of,Aware of but don't use,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of but don't use,Not aware of,Aware of and use outside MATLAB,Aware of but don't use,,,I have little experience in this field and I still need to study hard,"Classes and Object-Oriented Programming, Projects (https://uk.mathworks.com/help/matlab/projects.html)",Its convenience might make me use it,Would like to learn (on my own),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (on my own),Would like to learn (in structured training),Already familiar with,Already familiar with,"In-person lecture, Video tutorials","Official documentation, Online Q&A/Forums/Stack Overflow/MATLAB Central",It is difficult to understand a software thoroughly. We need to study hard to master it well
,Academic Researcher or Lecturer,Competent Practitioner,,Competent Practitioner,,Not aware of,Aware of but don't use,Not aware of,Aware of but don't use,Not aware of,Aware of and use outside MATLAB,Aware of but don't use,Not aware of,,"git's command line interface, MATLAB's source control tools, GitKraken Client",,"Projects (https://uk.mathworks.com/help/matlab/projects.html), MATLAB's source control integration (https://uk.mathworks.com/help/matlab/source-control.html)",,Not interested,Would like to learn (in structured training),Not interested,Would like to learn (in structured training),Not interested,Would like to learn (in structured training),Not interested,"Remote (online) lecture, Remote (online) practical, Written tutorials","Third-party online guidance, Colleagues",
,"Postgraduate Masters student, Postdoctoral Researcher / Research Fellow, Academic Researcher or Lecturer",Competent Practitioner,,Competent Practitioner,,Aware of and use outside MATLAB,Aware of but don't use,Not aware of,Aware of but don't use,Aware of but don't use,Not aware of,Aware of but don't use,Not aware of,,"git's command line interface, MATLAB's source control tools",,"Classes and Object-Oriented Programming, Projects (https://uk.mathworks.com/help/matlab/projects.html), Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)",,Would like to learn (on my own),Would like to learn (in structured training),Would like to learn (on my own),Not interested,Would like to learn (in structured training),Not interested,Would like to learn (in structured training),"Remote (online) lecture, Written tutorials","Third-party online guidance, Colleagues",
no,"Undergraduate student, Doctoral Student (PhD/EngD or similar)",Novice,no,Novice,no,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,no,"Other development environment git interface (e.g. VScode, Rstudio, PyCharm), GitKraken Client, GitHub Desktop",no,"Classes and Object-Oriented Programming, Projects (https://uk.mathworks.com/help/matlab/projects.html), MATLAB's source control integration (https://uk.mathworks.com/help/matlab/source-control.html)",,Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),"In-person practical, Remote (online) lecture, Remote (online) practical","Official documentation, Third-party online guidance, Colleagues",
no,"Undergraduate student, Postgraduate Masters student, Doctoral Student (PhD/EngD or similar)",Competent Practitioner,,Novice,,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,,"I don't use git with MATLAB, git's command line interface, MATLAB's source control tools",,"Functions, Classes and Object-Oriented Programming, MATLAB's source control integration (https://uk.mathworks.com/help/matlab/source-control.html), Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html)",,Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),"In-person lecture, In-person practical, Remote (online) lecture","Official documentation, Third-party online guidance, Colleagues",
,Postdoctoral Researcher / Research Fellow,Expert,,Expert,,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of but don't use,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of but don't use,,"git's command line interface, MATLAB's source control tools, Other development environment git interface (e.g. VScode, Rstudio, PyCharm), GitHub Desktop",,"Functions, Classes and Object-Oriented Programming, Projects (https://uk.mathworks.com/help/matlab/projects.html), MATLAB's source control integration (https://uk.mathworks.com/help/matlab/source-control.html), Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html), Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html), Custom toolbox development",,Would like to learn (on my own),Already familiar with,Would like to learn (on my own),Would like to learn (on my own),Already familiar with,Already familiar with,Would like to learn (on my own),"In-person lecture, In-person practical, Remote (online) lecture, Remote (online) practical, Written tutorials, Video tutorials, Blogs","Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central",
,Doctoral Student (PhD/EngD or similar),Competent Practitioner,,Competent Practitioner,,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of but don't use,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,,"git's command line interface, MATLAB's source control tools, Other development environment git interface (e.g. VScode, Rstudio, PyCharm), GitKraken Client, GitHub Desktop",,"Functions, Classes and Object-Oriented Programming, Projects (https://uk.mathworks.com/help/matlab/projects.html), MATLAB's source control integration (https://uk.mathworks.com/help/matlab/source-control.html), Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html), Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html), Custom toolbox development",,Would like to learn (on my own),Would like to learn (on my own),Already familiar with,Would like to learn (on my own),Would like to learn (on my own),Already familiar with,Already familiar with,"In-person lecture, In-person practical, Remote (online) practical, Video tutorials","Official documentation, Third-party online guidance, Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central, Institutional support (e.g. code clinics, RSE drop-in sessions)",
,Postgraduate Masters student,Novice,,Novice,,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of but don't use,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,,"git's command line interface, MATLAB's source control tools, Other development environment git interface (e.g. VScode, Rstudio, PyCharm), GitKraken Client",,"Functions, Classes and Object-Oriented Programming, Projects (https://uk.mathworks.com/help/matlab/projects.html), MATLAB's source control integration (https://uk.mathworks.com/help/matlab/source-control.html), Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html), Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html), Custom toolbox development",,Would like to learn (on my own),Already familiar with,Would like to learn (on my own),Would like to learn (on my own),Already familiar with,Already familiar with,Would like to learn (on my own),"In-person practical, Remote (online) practical, Video tutorials","Official documentation, Third-party online guidance, Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central, Institutional support (e.g. code clinics, RSE drop-in sessions)",
staff member,"Postgraduate Masters student, Doctoral Student (PhD/EngD or similar), Postdoctoral Researcher / Research Fellow, Academic Researcher or Lecturer, Research Software Engineer/Software Developer",Competent Practitioner,,Competent Practitioner,,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,,"MATLAB's source control tools, Other development environment git interface (e.g. VScode, Rstudio, PyCharm), GitKraken Client",,"Functions, Classes and Object-Oriented Programming",,Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),"In-person practical, Remote (online) lecture, Remote (online) practical, Written tutorials","Official documentation, Third-party online guidance, Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central",
 staff member,"Postgraduate Masters student, Doctoral Student (PhD/EngD or similar), Postdoctoral Researcher / Research Fellow, Academic Researcher or Lecturer",Competent Practitioner,,Competent Practitioner,,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,,"git's command line interface, MATLAB's source control tools, Other development environment git interface (e.g. VScode, Rstudio, PyCharm), GitKraken Client",,"Functions, Classes and Object-Oriented Programming, Custom toolbox development",,Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),"In-person practical, Remote (online) lecture, Remote (online) practical, Written tutorials, Video tutorials","Official documentation, Third-party online guidance, Online Q&A/Forums/Stack Overflow/MATLAB Central",
Academic educational research institutions,Undergraduate student,Competent Practitioner,,Novice,,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of but don't use,Aware of and use outside MATLAB,Aware of and use with MATLAB,,"I don't use git with MATLAB, git's command line interface, MATLAB's source control tools, Other development environment git interface (e.g. VScode, Rstudio, PyCharm)",,"Functions, Classes and Object-Oriented Programming, Projects (https://uk.mathworks.com/help/matlab/projects.html), MATLAB's source control integration (https://uk.mathworks.com/help/matlab/source-control.html), Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html), Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)",,Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Already familiar with,Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),"In-person lecture, In-person practical, Remote (online) lecture, Remote (online) practical, Written tutorials, Video tutorials","Official documentation, Third-party online guidance, Colleagues",
Academic educational research institutions,Undergraduate student,Competent Practitioner,,Novice,,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of but don't use,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of but don't use,,"I don't use git with MATLAB, git's command line interface, MATLAB's source control tools, Other development environment git interface (e.g. VScode, Rstudio, PyCharm)",,"Functions, Classes and Object-Oriented Programming, Projects (https://uk.mathworks.com/help/matlab/projects.html), MATLAB's source control integration (https://uk.mathworks.com/help/matlab/source-control.html), Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html), Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)",,Already familiar with,Would like to learn (on my own),Already familiar with,Already familiar with,Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),"In-person lecture, In-person practical, Remote (online) lecture, Remote (online) practical, Written tutorials, Video tutorials","Official documentation, Third-party online guidance, Colleagues",
Academic educational research institutions,Undergraduate student,Competent Practitioner,,Novice,,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of and use with MATLAB,,"I don't use git with MATLAB, git's command line interface, MATLAB's source control tools, Other development environment git interface (e.g. VScode, Rstudio, PyCharm)",,"Functions, Classes and Object-Oriented Programming, Projects (https://uk.mathworks.com/help/matlab/projects.html), MATLAB's source control integration (https://uk.mathworks.com/help/matlab/source-control.html), Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html), Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)",,Already familiar with,Would like to learn (on my own),Already familiar with,Would like to learn (on my own),Already familiar with,Would like to learn (on my own),Already familiar with,"In-person lecture, In-person practical, Remote (online) lecture, Remote (online) practical, Written tutorials","Official documentation, Third-party online guidance, Online Q&A/Forums/Stack Overflow/MATLAB Central",
Academic educational research institutions,Undergraduate student,Competent Practitioner,,Novice,,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of but don't use,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,,"I don't use git with MATLAB, git's command line interface, MATLAB's source control tools, Other development environment git interface (e.g. VScode, Rstudio, PyCharm)",,"Functions, Classes and Object-Oriented Programming, Projects (https://uk.mathworks.com/help/matlab/projects.html), MATLAB's source control integration (https://uk.mathworks.com/help/matlab/source-control.html), Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html), Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)",,Already familiar with,Would like to learn (on my own),Already familiar with,Would like to learn (on my own),Already familiar with,Would like to learn (on my own),Already familiar with,"In-person lecture, In-person practical, Remote (online) lecture, Remote (online) practical","Official documentation, Third-party online guidance, Colleagues",
,Postgraduate Masters student,Novice,,Novice,,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,,"git's command line interface, MATLAB's source control tools, Other development environment git interface (e.g. VScode, Rstudio, PyCharm), GitKraken Client, GitHub Desktop",,"Functions, Classes and Object-Oriented Programming, Projects (https://uk.mathworks.com/help/matlab/projects.html), MATLAB's source control integration (https://uk.mathworks.com/help/matlab/source-control.html), Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html), Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html), Custom toolbox development",,Already familiar with,Would like to learn (on my own),Would like to learn (on my own),Already familiar with,Would like to learn (on my own),Already familiar with,Would like to learn (on my own),"In-person lecture, In-person practical, Remote (online) lecture, Remote (online) practical, Written tutorials, Video tutorials, Blogs","Official documentation, Third-party online guidance, Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central, Institutional support (e.g. code clinics, RSE drop-in sessions)",
